date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:47	93650/93650	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index.html	(from )
15:59:01	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Jul%202023%2014:59:02%20GMT	https://uigator.com/robots.txt		(from )
15:59:02	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2028%20Jun%202021%2022:16:20%20GMT	https://uigator.com/assan/5.1/public/assets/img/favicon.ico	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/favicon.ico	(from https://uigator.com/assan/5.1/public/index.html)
15:59:03	66571/66571	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Mar%202022%2008:38:14%20GMT	https://uigator.com/assan/5.1/public/assets/fonts/boxicons/css/boxicons.min.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/fonts/boxicons/css/boxicons.min.css	(from https://uigator.com/assan/5.1/public/index.html)
15:59:04	28765/28765	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202023%2017:30:04%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/node_modules/css/aos.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/node_modules/css/aos.css	(from https://uigator.com/assan/5.1/public/index.html)
15:59:05	96539/96539	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Sep%202014%2003:29:52%20GMT	https://uigator.com/assan/5.1/public/assets/fonts/iconsmind/iconsmind.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/fonts/iconsmind/iconsmind.css	(from https://uigator.com/assan/5.1/public/index.html)
15:59:06	12469/12469	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Aug%202021%2016:19:48%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/masterslider/style/masterslider.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/masterslider/style/masterslider.css	(from https://uigator.com/assan/5.1/public/index.html)
15:59:06	4130/4130	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Aug%202021%2016:19:48%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/masterslider/skins/black-1/style.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/masterslider/skins/black-1/style.css	(from https://uigator.com/assan/5.1/public/index.html)
15:59:07	16470/16470	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202023%2017:30:04%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/node_modules/css/swiper-bundle.min.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/node_modules/css/swiper-bundle.min.css	(from https://uigator.com/assan/5.1/public/index.html)
15:59:09	419320/419320	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202023%2020:49:48%20GMT	https://uigator.com/assan/5.1/public/assets/css/theme.min.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/css/theme.min.css	(from https://uigator.com/assan/5.1/public/index.html)
15:59:09	4462/4462	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Jan%202022%2000:26:48%20GMT	https://uigator.com/assan/5.1/public/assets/img/logo/logo.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/logo/logo.svg	(from https://uigator.com/assan/5.1/public/index.html)
15:59:10	4450/4450	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Jan%202022%2000:26:54%20GMT	https://uigator.com/assan/5.1/public/assets/img/logo/logo-white.svg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/logo/logo-white.svg	(from https://uigator.com/assan/5.1/public/index.html)
15:59:11	116336/116336	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index-landing-classic.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index-landing-classic.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:12	96458/96458	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index-landing-creative.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index-landing-creative.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:13	66853/66853	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index-landing-agency.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index-landing-agency.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:13	121980/121980	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index-landing-business.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index-landing-business.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:14	105378/105378	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index-landing-startup.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index-landing-startup.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:15	96985/96985	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index-landing-consultancy.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index-landing-consultancy.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:16	105078/105078	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index-landing-saas-webapp.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index-landing-saas-webapp.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:16	38460/38460	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index-landing-mobile-App.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index-landing-mobile-App.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:17	37018/37018	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/index-landing-personal-portfolio.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/index-landing-personal-portfolio.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:19	57874/57874	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/portfolio-classic-2-col.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/portfolio-classic-2-col.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:20	58075/58075	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/portfolio-classic-3-col.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/portfolio-classic-3-col.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:21	59317/59317	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/portfolio-classic-4-col.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/portfolio-classic-4-col.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:21	832641/832641	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202022%2023:00:54%20GMT	https://uigator.com/assan/5.1/public/assets/img/960x1140/3.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/960x1140/3.jpg	(from https://uigator.com/assan/5.1/public/index.html)
15:59:22	58063/58063	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/portfolio-classic-masonry.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/portfolio-classic-masonry.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:23	63615/63615	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/portfolio-grid-overlay-2-col.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/portfolio-grid-overlay-2-col.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:24	63828/63828	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/portfolio-grid-overlay-3-col.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/portfolio-grid-overlay-3-col.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:25	63627/63627	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/portfolio-grid-overlay-4-col.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/portfolio-grid-overlay-4-col.html	(from https://uigator.com/assan/5.1/public/index.html)
15:59:25	64956/64956	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2022:36:34%20GMT	https://uigator.com/assan/5.1/public/portfolio-grid-overlay-masonry.html	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/portfolio-grid-overlay-masonry.html	(from https://uigator.com/assan/5.1/public/index.html)
